戏曲频道,#genre#
高平电视台,http://live.gprmt.cn:80/gpnews/hd/live.m3u8
高平电视台,http://live.gprmt.cn/gpnews/hd/live.m3u8
长治公共,http://live.njgdmm.com:80/changzhi/cztv2.m3u8
长治公共,http://live.njgdmm.com/changzhi/cztv2.m3u8
晋城新闻,http://live.jinnews.com.cn/xwzh/sd/live.m3u8
晋城公共,http://live.jinnews.com.cn/ggpd/sd/live.m3u8
晴彩中原,http://y.vlanl.com:4022/rtp/225.1.4.163:1203
晴彩中原,http://221.15.5.22:8888/rtp/225.1.4.163:1203
晴彩中原,http://39.165.24.218:808/hls/34/index.m3u8
河南梨园,http://59.174.227.193:8880/rtp/239.69.1.33:9838
河南梨园,http://120.41.125.130:8888/rtp/239.61.3.19:9634
河南梨园,http://111.175.30.136:8888/rtp/239.69.1.33:9838
河南梨园,http://101.23.216.151:8090/hls/45/index.m3u8
河南梨园,http://121.19.134.7:4022/rtp/239.253.93.133:6441
河南戏曲,http://123.149.201.44:808/hls/26/index.m3u8
河南戏曲,http://123.160.235.166:85/tsfile/live/1006_1.m3u8
河南戏曲,http://39.165.24.218:808/hls/37/index.m3u8
河南戏曲,http://39.165.24.218:808/hls/37/index.m3u8
移动戏曲,http://123.160.235.166:85/tsfile/live/1005_1.m3u8
移动戏曲,http://120.194.237.190:808/hls/35/index.m3u8
移动戏曲,http://y.vlanl.com:4022/rtp/225.1.4.206:1254
相声小品,http://219.156.117.134:808/hls/17/index.m3u8
相声小品,http://123.149.201.44:808/hls/17/index.m3u8
重温经典,http://1.62.64.234/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
重温经典,http://221.204.43.29/a18f4a1e8ee5c9fe3d0f338af6467843.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
河北杂技,http://111.227.41.129:8012/rtp/239.254.201.139:7203
河北杂技,http://111.224.82.248:1024/rtp/239.254.201.139:7203
七彩戏剧,http://php.jdshipin.com:8880/bst.php?id=qcxjhd8m/8000000
七彩戏剧,http://zteres.sn.chinamobile.com:6060/000000001000/5000000011000031116/1.m3u8?channel-id=bestzb&Contentid=5000000011000031116&livemode=1&stbId=3
七彩戏剧,http://zteres.sn.chinamobile.com:6060/000000001000/2000000002000000010/1.m3u8?channel-id=hnbblive&Contentid=2000000002000000010&livemode=1&stbId=3
山西频道,#genre#
山西卫视,http://liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true
山西卫视,http://live.cooltv.top/tv/tide.php?id=sxiws2
山西影视,http://liveflash.sxrtv.com/live/sxfilm.m3u8?sub_m3u8=true&edge_slice=true
山西黄河,http://liveflash.sxrtv.com/live/huanghe.m3u8?sub_m3u8=true&edge_slice=true
山西黄河,http://live.cooltv.top/tv/cutv.php?id=sxhh
山西经济,http://api2.52tb.xyz/info?id=643&token=20230405tndmhg
山西经济,http://live.cooltv.top/tv/cutv.php?id=sxjj
山西经济,http://live.cooltv.top/tv/tide.php?id=sxjj
山西社会与法治,http://liveflash.sxrtv.com/live/sxedu.m3u8?sub_m3u8=true&edge_slice=true
山西社会与法治,http://live.cooltv.top/tv/cutv.php?id=sxkj
山西社会与法治,http://live.cooltv.top/tv/tide.php?id=sxshfz
山西社会与法治,http://api2.52tb.xyz/info?id=642&token=20230405tndmhg
山西文体生活,http://liveflash.sxrtv.com/live/sxpublic.m3u8?sub_m3u8=true&edge_slice=true
山西文体生活,http://api2.52tb.xyz/info?id=644&token=20230405tndmhg
山西文体生活,http://live.cooltv.top/tv/tide.php?id=sxwtsh
山西文体生活,http://live.cooltv.top/tv/cutv.php?id=sxgg
山西影视,http://live.cooltv.top/tv/cutv.php?id=sxys
山西影视,http://live.cooltv.top/tv/tide.php?id=sxys
央视频道,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8(超清)1080p
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8(超清)1080p
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8(超清)1080p
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8(超清)1080p
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8(超清)1080p
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8(超清)1080p
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8(超清)1080p
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8(超清)1080p
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8(超清)1080p
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8(超清)1080p
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8(超清)1080p
CCTV11,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226240/1.m3u8
CCTV11,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226240/index.m3u8
CCTV11,http://dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226240/index.m3u8
